ООО «Сантехсервис»;6659000194;Директор Вавула Михаил Сергеевич;620050, Свердловская область, г.Екатеринбург, ул.Сортировочная, 45;www.sts96.ru;info@sts96.ru;(343) 2293257
ООО «ЭМУ-4»;6606009683;Директор Кривоногов Евгений Валентинович;624090, Свердловская область, г.Верхняя Пышма, ул.Парковая, д.12, корп.А;;amu-4buh@yandex.ru;(34368) 53704, 53365
ООО «ЭСК «Энергомост»;6671249389;Генеральный директор Никитин Алексей Геннадьевич;620050, Свердловская область, город Екатеринбург, улица Маневровая, дом 42;www.energomost.com;"secretar@energomost.com; a.shtinov@energomost.com; energomost@energomost.com";(343) 3441050, 3441064, 3441061, 3734966
ООО «Уралстройинвест»;6658078487;Директор Леонов Игорь Иванович;620028, Свердловская область, г.Екатеринбург, Татищева, 98;www.usinvest.ru;"usi@usinvest.ru; afanasiev@usinvest.ru";(343) 2515030
АО «Трест УТСС»;6660001058;Генеральный директор Головин Дмитрий Владимирович;620062, Российская Федерация, Свердловская область, г. Екатеринбург;;"utss@utss.ru; trestutss@gmail.com; utss@utss.epn.ru";(343) 3743721
ООО «Уралэнергосантехмонтаж»;6670354246;Генеральный  директор Илюшин Алексей Александрович;620062, Свердловская область, г.Екатеринбург, проспект Ленина дом  97А оф.137;;"uestmsnab@isnet.ru; uestm@bk.ru; 89122642754@mail.ru";(343) 3740867,3756325, 3756335, 3756330
ОАО «Инженерный центр энергетики Урала-УРАЛВНИПИЭНЕРГОПРОМ, Уралсельэнергопроект, УралТЭП, УралОРГРЭС, УралВТИ, Уралэнергосетьпроект, Челябэнергосетьпроект»;6660002245;Генеральный директор Егоров Аркадий Александрович;620075, Свердловская область, г.Екатеринбург, ул.Первомайская, д.56;;"mail@iceu.ru; jav@iceu.ru; uya@iceu.ru";(343) 3503235
ООО «Производственно-коммерческая фирма «СТРОЙПУТЬ»;6660074881;Директор Крашенинникова Наталия Борисовна;620039, Свердловская область, г. Екатеринбург, ул. Лукиных, дом 5, офис 103;;stroyput-post@mail.ru;(343) 2871742
ЗАО фирма «АЗОС»;6662100625;Директор Маковкин Николай Алексеевич;620030, Свердловская область, г.Екатеринбург, проезд Каскадный, дом 4;www.azos.ru;"info@azos.ru; wagin@azos.ru";(343) 2700830
ООО «МОНО-2»;6658070216;Директор Лотов Николай Петрович;620014, Свердловская область, г.Екатеринбург, пр.Ленина, 5-184;;"mono-2@mail.ru; igor.mono-2@mail.ru";(343) 2163183
АО «Управляющая компания строительного холдинга»;6660144200;Генеральный  директор Сомин Евгений Леонидович;620046, Свердловская область, г.Екатеринбург;www.uksh.ru;"info@uksh.ru; sveta.zgura@gmail.com";(343) 3712700
ООО «ЭМУ 2»;6661030020;Директор Баянов Сергей Зотикович;620017 Свердловская область, г.Екатеринбург, ул. Электриков, д.18д;;"emu2@emu2.ru; smeta@emu2.ru";(343) 3361618, 3361619, 3361620
АО «Газпром газораспределение Екатеринбург»;6660004997;Генеральный  директор Фишер Юрий Григорьевич;620014, Свердловская область, г.Екатеринбург, ул.Малышева, 4а;;"sog@svoblgaz.ur.ru; ura@svoblgaz.ru";(343) 3673012,3673038, 2031524,2031530
ООО «Белоярская Уралэнергостроймеханизация»;6609010133;Директор Сайбель Анатолий Андреевич;624250, Свердловская область, г.Заречный, ул.Октябрьская, д.10;буэсм.рф;"seibel@inbox.ru; seibel-pto@yandex.ru";(34377) 31595, 31885
ООО «Строительно-монтажное управление №2»;6623042578;Директор Ветошкин Денис Владимирович;622005, Свердловская область, г.Нижний Тагил, ГСП-5, Балакинская, 1а;;"ccy2@mail.ru; cmy2@mail.ru";(3435) 257563
ООО «Электросетьстрой»;6660076215;Директор Кочеткова Валентина Ивановна;620072, Свердловская область, г.Екатеринбург, ул.Высоцкого, 1;;"ess-ekt@yandex.ru; sekretar@elektraek.ru; ekb@elektraek.ru; ees@sky.ru";(343) 3486939, 2829827, 2829828, 2829872
АО «Строительно-монтажное управление №3»;6660009089;Генеральный директор Полищук Илья Семенович;620137, Свердловская область, г.Екатеринбург, ул.Комвузовская, 21 Б;;"office@smu3.ru; smu3@convex.ru";(343) 3740989
ООО «Тагилтеплоизоляция»;6623025854;Директор Аскеров Рафаел Муслум Оглы;622605, Свердловская область, г.Нижний Тагил, ул.Индустриальная, здание конторы АБК, Литер А;;"tti@list.ru; pestova-ti@rambler.ru";(3435) 377655
АО «УРАЛЭНЕРГОРЕМОНТ»;6660001308;Генеральный  директор Томилов Александр Владимирович;620219, Свердловская область, г.Екатеринбург, ул.Шевченко, 16;www.uer.ru;"uer@uer.ru; pto@uer.ru";(343) 3508146, 3881462
ООО «Североуральская теплоизоляция»;6631006615;Директор Мартыновский Вячеслав Анатольевич;624480, Свердловская область, г.Североуральск, ул.Клубная, 1, строение1;;"suti@bk.ru; tatianam1@mail.ru";(34380) 21876
ООО «Партнер»;6660074909;Генеральный  директор Кейльман Александр Дмитриевич;Свердловская область, город Екатеринбург;;"Keylman_nastya@mail.ru; kristina-keylman@yandex.ru; ekb@partner1992.ru";(343) 3366065
ООО «УралТрансСтрой»;6672216844;Генеральный директор Кондратенко Павел Иванович;620030, Свердловская область, г.Екатеринбург, ул.Климовская, д.23;;phenix.ural@gmail.com;(343) 2050012
ООО «Гранд»;6611007603;Генеральный директор Силкин Андрей Владимирович;623800, Свердловская область, г.Ирбит, Орджоникидзе, 75;;grandirbit1@mail.ru;(34355) 44253
ООО «Спецдом-дорстрой»;6659177226;Директор Бабаев Адиль Фикир Оглы;623400, Свердловская область, Каменск-Уральский, ул.Кунавина, д.2, оф.407;;specdom-dorstroy@yandex.ru;(3439) 396196
ООО «Строительное управление ВТГРЭС»;6616006219;Директор Долгоруков Николай Васильевич;624162, Российская Федерация, Свердловская область, г.Верхний Тагил, ул. Лесная д.19 оф. 2;;suvtgs@rambler.ru;(34357) 22346
ООО «Нижнетагильский завод металлических конструкций»;6668020461;Генеральный директор Парфенов Виталий Викторович;622005, Свердловская область, г.Нижний Тагил, ул.Шевченко, 10;www.ntzmk.ru;"mail@ntzmk.ru; parfenov@ntzmk.ru";"(3435) 299301, 490028; 299300"
ООО фирма «Конструкция»;6668011330;Директор Углов Алексей Александрович;622049, Свердловская область, город Нижний Тагил, улица Захарова,дом 10, кв.91;;Konstrstroy@mail.ru;(3435) 496167
ООО «Электросети БН-800»;6639018690;Директор Ромахов Владимир Борисович;624250, Свердловская область, г.Заречный, ул.Попова, 4;;"elektrosety_bn@mail.ru; ovrez77@mail.ru; Larisa_1973@bk.ru";(34377) 76415
ООО «АльпСервис»;6623037747;Директор Грачев Сергей Анатольевич;620075, Свердловская область, город Екатеринбург, улица Первомайская, дом 56, офис 700;;"ast-ntg@mail.ru; alexmoiseeva@mail.ru; alpgrachev@mail.ru";(3435) 963737
ЗАО «РЕФТЭЛЕКТРОМОНТАЖ»;6603012110;Директор Безотосный Юрий Иосифович;624285, Свердловская область, г.Асбест, р.п.Рефтинский, ул.Гагарина, д.8, кв.67;;"rem_asb@mail.ru; rem.pto2@gmail.com";(34365) 38303
ООО «Уральская электромонтажная компания»;6658138400;Директор Рославцев Вадим Владимирович;620109, Свердловская область, ул. Токарей, дом 40, пом. 320;;"qm@mu-ues.ru; uek@mu-ues.ru";(343) 2870375
ООО «СУ-6»;6662028922;Директор Малышев Александр Павлович;620027, Российская Федерация, Свердловская область, г. Екатеринбург, ул. Азина, дом 24, офис 910;www.su6.ru;su-6@inbox.ru;(343) 2577781, 2577780
ООО «МАКК-2000»;6658111046;Директор Макаров Александр Владимирович;620035, Свердловская область, г. Екатеринбург, ул. Юмашева, д. 9, офис 2;;"MAKK2000@yandex.ru; vgrig0862@mail.ru";(343) 3684741, 3827361
ООО «Энергостройкомплект-К»;6658147324;Директор Малков Вячеслав Владимирович;620034, Свердловская область, г.Екатеринбург, ул.Опалихинская, д.27, кв.82;www.esk-k.ru;esk-k@yandex.ru;(343) 2357831
ЗАО «РосСтальКонструкция»;6659090575;Директор Дроздецкий Дмитрий Борисович;620050, Свердловская область, г.Екатеринбург, ул.Ангарская, д.75, оф.19;www.rosstalconst.ru;"rsk-01@rambler.ru; pck@k66.ru";(343) 2584772
ООО «Электросервис»;6616005039;Директор Никитинский Александр Николаевич;624162, Свердловская область, г.Верхний Тагил, ул.Розы Люксембург, 80;;"aakorez@mail.ru; nikitinskiy_an.elektroservis@mail.ru; Lomakov-76@yandex.ru; lservis-buh@yandex.ru";(34357) 26179
