НАО «Каневское ДРСУ»;2334019678;Генеральный директор Надеин Сергей Иванович;353731, Краснодарский край, Каневской район, ст.Каневская, ул.Горького, 203;www.kandrsu.ru;drsu_k@mail.ru, drsu_andriianova@mail.ru;(86164) 40070
Фирма «Караван» (ООО);2301031736;Генеральный директор Платицин Владимир Петрович;353440, Краснодарский край, г-к.Анапа, ул. Крымская, д. 244;;firmakaravan@mail.ru;(86133) 43590
ЗАО «КМУС-2»;2308036363;Генеральный директор Притыка Алексей Иванович;350051, Краснодарский край, г.Краснодар, ул.Дзержинского, 38;www.kmus2.ru;"krasnodar@kmus2.ru; pukanov.d@yandex.ru";(861) 2241301, 2241331
ООО Компания «Выбор»;2315056040;Генеральный директор Шевченко Василий Юрьевич;353915,   Краснодарский край, г.Новороссийск, ул.Революции 1905 г., д.51;www.vibor-story.com;vibor_sekretar@mail.ru;(8617) 641715, 612581, 613479
ООО «Красноармейское ДРСУ»;2336018775;Директор Немна Александр Валерьевич;353800, Краснодарский край, Красноармейский район, ст.Полтавская, ул.Центральная,  дом 1/2;;krsmdrsu1@mail.ru;(86165) 41290
АО «КВС»;2312016514;Генеральный директор Бесленей Шамиль Ибрагимович;350040, Краснодарский край, г.Краснодар, ул.Таманская, 180, лит Бб, офис № 18;www.krasnodarvodstroi.ru;oaokvs@list.ru, buchkvs@mail.ru;(861) 2336636
АО «КПС»;2310043720;Генеральный директор Тутаришев Батырбий Зульевич;350000, Краснодарский край, г.Краснодар, ул.Чапаева, 94;www.kps-93.ru;2593520@mail.ru;(861) 2593520
ЗАО «Кубанская марка»;2311011513;Генеральный директор Степура Марат Юрьевич;350065, Краснодарский край, г.Краснодар, ул.Ессентукская, 8;www.kubmarka.ru;kubmarka@v-k-b.ru;(861) 2740773
ООО «КПГ»;2312090229;Генеральный директор Экимьян Тимофей Викторович;350001, Краснодарский край, г.Краснодар, ул. 6-я Линия Поймы реки Кубань, д.87, пом.101;;kubanpolimergaz@mail.ru;(861) 2112563
ОАО «Курортстрой»;2304016990;Генеральный директор Топалян Павел Рубенович;353460,   Краснодарский край, г.Геленджик, 3-й км. Сухумского шоссе;;ugmail@mail.ru;(86141) 5-50-61
НАО «Лабинское ДРСУ»;2314017986;Генеральный директор Евсюков Владимир Владимирович;352505, Краснодарский край, г.Лабинск, ул.Победы, 1 а;;labdrsu@mail.ru;(86169) 72427
НАО «Ленинградское ДРСУ»;2341012218;Генеральный директор Закирьянов Михаил Валентинович;353745, Краснодарский край, Ленинградский район, ст.Ленинградская, переулок Элеваторный, 42;;LENDRSU@BK.RU;(86145) 37432
ООО «Маркер»;2336017130;Директор Швацкий Эдуард Владимирович;353807, Краснодарский край, Красноармейский район, ст.Полтавская, ул.Центральная, 3а;;marker_krsm@list.ru;(86165) 43497
ООО СФ «Нерей»;2304036764;Директор Чемоданов Вячеслав Валентинович;"353461, Краснодарский край, г.Геленджик, ул. Красногвардейская, д.38 А, корп. ""А"", оф.7";;nerey_gel@mail.ru;(8614) 130439
ООО «НСИ-Юг»;2312088075;Генеральный директор Ушаков Геннадий Тимофеевич;350033, Краснодарский край, г.Краснодар, ул.Мира, 69/1;;nsi-priemnaya@mail.ru, nsikd01@gmail.com;(861) 2592122
НАО «Новопокровское ДРСУ»;2344014453;Генеральный директор Радаев Александр Владимирович;353021, Краснодарский край, Новопокровский район, ст.Новопокровская, ул.Железнодорожная, 153;;ndrsu@mail.kuban.ru;(86149) 71291
ООО «Новороскапстрой»;2315143581;Генеральный директор Хабаху Аскербий Нурбиевич;353922, Краснодарский край, г.Новороссийск, ул.Хворостянского/пр.Дзержинского, 15/196;;novoroskapstroi@mail.ru;(8617) 222-782
ООО «НПО «НовоТестСистемы»;2315140245;Генеральный директор Козырь Александр Викторович;353925, Краснодарский край, г.Новороссийск, пр-кт Дзержинского, д. 211, оф.507;www.novotest.net;novotest@novotest.net, buh@novotest.net;(8617) 772722
ООО СФ «Новый век»;2312089992;Директор Буглак Алексей Николаевич;350080, Краснодарский край, г.Краснодар, ул.Демуса, 60;;nv_pto@mail.ru, noviivek@mail.ru;(861) 2327781
ЗАО «ОБД»;2312016730;Генеральный директор Залуцкий Александр Леонидович;350059, Краснодарский край, г.Краснодар, ул.Тихорецкая, 20;www.zavodobd.ru;zavodobd@mail.ru;(861) 2637814
ООО «ОБД-Инвест»;2310099434;Генеральный директор Терентьев Николай Николаевич;350000, Краснодарский край, г.Краснодар, ул.Орджоникидзе/Красноармейская, 46/32, 901;www.obdinvest.ru;obd-invest@yandex.ru;(861) 2748819
ООО «ПГС»;2315110106;Директор Савич Николай Владимирович;353900, Краснодарский край, г.Новороссийск, ул. Новороссийской республики, д. 34;www.portgidrostroy.ru;infopgs@portgidrostroy.ru, infopgs@portgidro21.ru, L.Vlasyk@portgidrostroy.ru;(8617) 309101
ООО «Оникс»;2315057519;Директор Каплин Юрий Викторович;353902, Краснодарский край, г.Новороссийск, ул. Сухумское шоссе, 60;;kaplin7@yandex.ru;(8617) 300-823
НАО «Отрадненское ДРСУ»;2345010229;Генеральный директор Забелин Александр Александрович;352290, Краснодарский край, Отрадненский район, ст.Отрадная, ул.Братская, 59;;Otr_drsu@mail.ru;(86144) 33678
НАО «Павловское ДРСУ»;2346013688;Генеральный директор Морозов Игорь Вячеславович;352040, Краснодарский край, Павловский район, ст.Павловская, ул.Преградная, 2;www.pavldrsu.ru;pavldrsu@mail.ru;(86191) 55008, 52336, 54996
ЗАО «Платнировское»;2335000278;Директор Шатохин Андрей Александрович;353177, Краснодарский край, Кореновский район, ст.Платнировская, ул.Магистральная, 13;;platnirovk@mail.ru;(86142) 73914, 73912
ООО «РегионДорСтрой»;2335013238;Генеральный директор Тарасова Ирина Владимировна;353180, Краснодарский край, г.Кореновск, ул.Тимашевская, д.28;;rds@regiondorstroy.net;(86142) 36089
ООО «Росмонтаж»;2315013141;Директор Назарьев Геннадий Борисович;353913, Краснодарский край, г.Новороссийск, проспект Ленина, 47 а;rosmontazh.ru;rosmontazh@mail.ru;(8617) 223719
НАО «Славянское ДРСУ»;2349025949;Генеральный директор Шевченко Сергей Григорьевич;353566, Краснодарский край, г.Славянск-на-Кубани, ул.Ярморочная, 349;;SLDRSU@rambler.ru;(86146) 44265
ООО «СМУ-Изоляция»;2308063046;Генеральный директор Михайлов Станислав Викторович;350000, Краснодарский край, г.Краснодар, ул.Московская, 97, оф.35;www.smuizol.ru;mail@smuizol.ru;(861) 2930101
АО «СМУ-1»;2317030495;Генеральный директор Ксандопуло Борис Александрович;354340, Краснодарский край, г.Сочи, ул.Калинина, 39;www.smu1-sochi.ru;"oaosmu1@yandex.ru; smu1@mail.ru";(862) 2400287
АО СФ «ССМУ-5»;2312015704;Директор Хачак Газий Ибрагимович;350059, Краснодарский край, г.Краснодар, 3-й Тихорецкий проезд, 6;www.ssmu5.ru;SSMU5@mail.ru;(861) 2315859
ООО Фирма «Строитель»;2309013672;Директор Кривонос Борис Викторович;350007, Краснодарский край, г.Краснодар, ул.Южная, 15;www.stroitel-krasnodar.ru;stroitel-krasnodar1990@yandex.ru;(861) 2689694
ЗАО «Строй Интернейшнл»;2310012803;Генеральный директор Аванесян Артур Сергеевич;350020, Краснодарский край, г.Краснодар, ул.Одесская, 43;www.stroi-intl.ru;stroi@mail.kuban.su, allabarkova@bk.ru;(861) 2537191
ООО «Стройсервис»;2329013342;Директор Наумов Владимир Николаевич;352192, Краснодарский край, г.Гулькевичи, ул.50 лет ВЛКСМ, 10, кв.2;ooo-stroyservis.ru;gul_stroiservis@mail.ru;(86160) 56074
ООО «СЗ «Стройэлектросевкавмонтаж»;2310056286;Директор Афонина Екатерина Владимировна;350912, Краснодарский край, г.Краснодар, ул.Лавочкина, д.21;www.stroysevkav.ru;priem@stroysevkav.ru;(861) 9920543
ООО «ТВЛ-Газ»;2320043818;Генеральный директор Тарлакян Лидия Николаевна;354003, Краснодарский край, г.Сочи, ул.Ботаническая,д.19, помещение11-15;;tvlgaz@mail.ru;(8918) 1073663
НАО «Темрюкское ДРСУ»;2352037430;Генеральный директор Щербина Александр Владимирович;353500, Краснодарский край, г.Темрюк, ул.Чуянова, 15;;temruk_alfa@mail.ru;(86148) 52150
НАО «Тимашевское ДРСУ»;2353021288;Генеральный директор Копотилов Михаил Дмитриевич;352700, Краснодарский край, Тимашевский район, г.Тимашевск, ул.Профильная, 47;http://тимашевскоедрсу.рф;"timashevskdrsu@yandex.ru; timdrsu@rtmv.kuban.ru";(86130) 41785
ООО «Трансстрой»;2314016661;Директор Чернятин Виктор Иванович;352500, Краснодарский край, Лабинский район, г.Лабинск, Зона южная промышленная, Литер А, офис 1;;lab-trans@mail.ru;(86169) 38011
ООО Центр «Содействие»;2308247822;Генеральный директор Стрельцов Станислав Георгиевич;350000, Краснодарский край, г.Краснодар, ул.Рашпилевская, 53, офис 1;;sentr-sod@yandex.ru;(861) 2686031
ООО «ЧТПК»;2315067771;Генеральный директор Карачлы Алексей Викторович;353900, Краснодарский край, г.Новороссийск,  ул.Бирюзова, д.8;www.chtpknov.ru;info@chtpknov.ru, invest.nov@mail.ru, chabanov30@gmail.com;(8617) 614082, 677302
ООО «Эверест»;2304029679;Директор Скопюк Павел Семенович;353475, Краснодарский край, г.Геленджик, микрорайон Парус, д.24, офис 2;www.everestgei.ru;everestgl@mail.ru, everestbuh@mail.ru;(86141) 54640
ООО «Элит Сити»;2308143291;Директор Болотнов Виктор Владимирович;350015, Краснодарский край, г.Краснодар, ул.Кузнечная, 37;;elite-city@mail.ru;(861) 2001578
ООО «Югстрой»;2306018640;Директор Донченко Геннадий Александрович;353682, Краснодарский край, г.Ейск, ул.Герцена, 2-г;yugstroy-23.ru;Yugstroy99@bk.ru;(86132) 28236
ООО «Ависта плюс»;7447050011;Генеральный директор Мякишев Юрий  Викторович;354065, Краснодарский край, г.Сочи, ул.Красноармейская ,д.14 ,оф.7;;kck4@yandex.ru;(862) 2668668
ООО «Ейскэлектросервис»;2306026120;Директор Зюбин Евгений Иванович;353691, Краснодарский край, г.Ейск, ул.Западная, 1/1;;"eyskelserv@yandex.ru; zbhes@yandex.ru";(86132) 77844
ООО «Вектор»;2301035321;Директор Дранникова Светлана Сергеевна;353406, Краснодарский край, г-к.Анапа, х.Воскресенский, проезд Дорожников, д.14;;vektoranapa@mail.ru;((918)) 4392987
ООО «Фирма «Гравитон»;2309059282;Генеральный директор Курбацкий Лев Владимирович;350921, Краснодарский край, г.Краснодар, п.Белозерный, 1/3;;"graviton2010@mail.ru; 4949419@mail.ru";(861) 2741990, 2745080
ООО «НПП «ТЕРМОТЕХНИКА»;2309077852;Директор Мацко Анатолий Николаевич;350062, Краснодарский край, г.Краснодар, ул.Яна Полуяна, 2;www.oootermo.ru;termot@yandex.ru;(861) 2212933
ООО «ЮСК»;2308129160;Директор Шинкевич Дмитрий Владимирович;350051, Краснодарский край, г.Краснодар, ул.Дальняя, 4/4;;sdo-2016@mail.ru;(861) 2245824
ООО «Монолит»;2322022235;Генеральный директор Бондаренко Сергей Владимирович;352800, Краснодарский край, Туапсинский район, г.Туапсе, ул.Б.Хмельницкого, 96;;"monolitbuh@mail.ru; monolit_ot@mail.ru; monolitpto@mail.ru";(86167) 31133
МУП «Выселковский ДРСУ»;2328003334;Директор Белов Вадим Владимирович;353100, Краснодарский край, Выселковский район, ст.Выселки, ул.Дзержинского, 2;;viselkidrsu@list.ru;(86157) 73444, 76828, 73478
ООО ППСО «Исток»;2357000909;Генеральный директор Шейко Юрий Владимирович;352450, Краснодарский край, Успенский район, с.Успенское, ул.Партизанская, 62;;ppso-istok@yandex.ru;(86140) 58258
ООО «ЭМУ–17»;2312146707;Директор Бардачев Алексей Владимирович;350065, Краснодарский край, г.Краснодар, ул.Снесарева, д.8, оф.48;;smy-17@mail.ru;(861) 2635276
ООО «НППФ «Краснодаравтодорсервис»;2309008513;Генеральный директор Мудрак Алексей Николаевич;350063, Краснодарский край, г.Краснодар, ул.Советская, 57;;office@nppf-kads.ru, ped@nppf-kads.ru;(861) 9914236
ООО «Вымпел»;2365001977;Директор Фельдман Ирина Давидовна;352800, Краснодарский край, Туапсинский район, г.Туапсе, ул.Войкова, 19;;ooo_vmp@mail.ru;(86167) 23439
ООО «Беретта-Сервис»;2311067114;Директор Закревский Владислав Степанович;350072, Краснодарский край, г.Краснодар, ул.Московская, 44;;bereta-krasnodar@bk.ru;(861) 2520350
ООО «СК»;2315097600;Директор Золотухин Станислав Юрьевич;353960, Краснодарский край, г.Новороссийск, с.Цемдолина, пер.Полярный, д.7;;stroikompani@mail.ru;(8617) 613954
ООО «АЛК++Компани»;2320101700;Президент Снигоренко Роман Евгеньевич;354000, Краснодарский край, г.Сочи, ул.Роз, 41, кв.18;www.alk-company.ru;info@alk-company.ru;(862) 5553333
ООО «Югстройэнергосервис»;2312134300;Генеральный директор Семергей Владимир Викторович;350018, Краснодарский край, г.Краснодар, ул.Уральская, 81а, оф.1,2,3,4;;ooo-uses@mail.ru;(861) 2311129
ОАО «Краснодарэнергоремонт»;2312118308;Генеральный директор Басс Александр Юрьевич;350018, Краснодарский край, г.Краснодар, ул.Сормовская, 10/4;www.rmc-holding.com;Ker@rmc-holding.com;(861) 2790231
ООО «ЭКЦ «Дедал»;2308102915;Директор Капустянов Андрей Васильевич;350051, Краснодарский край, г.Краснодар, ул.Монтажников, 1;www.ekc-dedal.ru;dedal_expert@mail.ru;(861) 2737755, 2252424, 2242314
ООО «КраснодарИнвестСтрой»;2311084448;Генеральный директор Лондарь Александр Николаевич;350080, Краснодарский край, г.Краснодар, ул.Красноармейская, дом 40, пом. 5/1, 17;www.kr-investstroi.ru;kis@v-k-b.ru;(861) 2747331
ООО «Кубаньремстрой-2»;2321015877;Генеральный директор Братков Роман Леонидович;352128, Краснодарский край, Тихорецкий район, г.Тихорецк, Новорождественское шоссе, 4-б;;krs2-snab@mail.ru;(86196) 99125
ООО «Курганинскгазсервис»;2339014338;Директор Агафонов Вячеслав Владимирович;352430, РОССИЯ, Краснодарский край, г.Курганинск, ул.Мира, д.109;;gazservis2010@list.ru;(86147) 31011
ООО «Хоста»;2319018550;Генеральный директор Асатуров Эдгар Азатович;354067, Краснодарский край, г.Сочи, ул.Ялтинская, 22;www.ooohosta.ru;ooohosta@mail.ru;(862) 2653555
ООО «СКМУ - Генподряд»;2312107909;Генеральный директор Данцигер Олег Романович;350911, Краснодарский край, г. Краснодар, ул. Трамвайная, 3/1;www.скму.рф;skmu@list.ru, skmu@inbox.ru;(861) 2313841
ООО «Выбор-К»;2315086213;Директор Мережко Сергей Владимирович;353915, Краснодарский край, г.Новороссийск, ул.Революции 1905г., д.51;www.vibor-group.com;vibork_alina@mail.ru;(8617) 611292,611587
ООО «Содействие+»;2311091526;Директор Позднякова Светлана Борисовна;350080, Краснодарский край, г.Краснодар, ул.Сормовская, 181;;ooo-sodeystvie@yandex.ru;(861) 2604712
ООО «Терем - СЗ»;2305017740;Управляющий Куцов Сергей Иванович;353290, Краснодарский край, г.Горячий Ключ, ул.Псекупская, 128б;www.terem-gk.ru;pto-gk@terem-gk.ru, bev@terem-gk.ru;(86159) 46688
АО «ЖБИ-1»;2311011320;Генеральный директор Терентьев Олег Николаевич;350090, Краснодарский край, г. Краснодар, пр.Репина, 22, офис 54;;oaogbi1@mail.ru, oaojbi1@gmail.com;(861) 2748909
ООО «ПРОИЗВОДСТВЕННАЯ ФИРМА «МОСТ»;2319001066;Директор Мамрикишвили Георгий Владимирович;354002, Краснодарский край, г.Сочи, ул.Я.Фабрициуса, 20а;;most@sochi.com;(862) 2418229
ООО «ФИРМА «ТЕРМОСЕРВИС»;2309004678;Директор Мацкевич Владимир Петрович;350033, Краснодарский край, г.Краснодар, ул.Ставропольская, 13;;Termo_servis@mail.ru;(861) 2686797
ООО «ЛАЛ»;2304030674;Директор Нигматулин Марат Фаритович;353460, Краснодарский край, г.Геленджик, ул.Тельмана, 137;www.lal-gel.ru;info@lal-gel.ru;(86141) 7-00-05
АО «НГТ-Энергия»;2349017673;Генеральный директор Катрич Евгений Валерьевич;353560, Краснодарский край, г. Славянск-на-Кубани, ул. Красная ,9;www.ngt-energy.ru;"sekretar@ngt-energy.ru; general@ngt-energy.ru; snitko@ngt-energy.ru";(86146) 55137, 55205
Строительно-инвестиционная компания ООО «АЛФРЭЙМС-ЮГ»;2312105041;Директор Землянко Михаил Юрьевич;350000, Краснодарский край, г.Краснодар, ул. им. Орджоникидзе, д. 46, литер Б, оф. 704;;alframes_kuban@mail.ru;(861) 2020173
ООО «ПРОЕКТМОНТАЖЮГ»;2308109283;Генеральный директор Шеховцов Александр Александрович;350089, Краснодарский край, г.Краснодар, ул. им. Генерала Шифрина, 1, оф. 653;;sa2201234@gmail.com;(861) 9914941
ООО «Строй-Новация»;2310037639;Директор Исраелян Ален Ваганович;350020, Краснодарский край, г. Краснодар, ул. Одесская 43;;stroy-novaciya@mail.ru;(861) 2249559
ООО «Экострой»;2320146644;Генеральный директор Добриченко Николай Николаевич;354068, Краснодарский край, г.Сочи, ул.Калужская, 29;;dobrichenko@yandex.ru;(8938) 4548380
ООО «Стройдизайн»;2310034980;Директор Дыдышко Игорь Иванович;350020, Краснодарский край, г.Краснодар, ул.Одесская, 43;;egorkina.modern@mail.ru;(861) 2537191
ПК «Асфальт»;2343002342;Председатель Мисячкин Владимир Анатольевич;352238, Краснодарский край, г.Новокубанск, ул.Новаторов, д.1/2;;pk.asphalt@mail.ru;(86195) 32259
ГУП  КК СВВУК «Курганинский групповой водопровод»;2339015370;Генеральный директор Абрамов Сергей Аветисович;352909, Краснодарский край, г.Армавир, ул.Р.Люксембург, 233;www.armavirvodokanal.ru;"8613733775@mail.ru; oks_vodokahal@mail.ru";(86137) 33775
ООО ПКФ «Аргалаус»;2309037585;Директор Чикалиди Григорий Пантелеевич;350011, Краснодарский край, г.Краснодар, ул.Стасова, 2/2;;Argalays@yandex.ru, Argalaus@yandex.ru;(861) 2335564
ООО «ПОЛИЭДР»;2306006645;Директор Малышев Михаил Юрьевич;353691, Краснодарский край, г.Ейск, ул.Красная, 57, оф.101;;malysh_alex@mail.ru, energi-mm@mail.ru;(86132) 77454
ООО Строительная Компания «Кубаньпромстрой»;2313007640;Директор Соколов Павел Юрьевич;350380, Краснодарский край, г.Кропоткин, ул.Московская, 274/1;;kubanpromstroy@mail.ru;(86138) 79127
ООО «Энергослужба»;2301044125;Директор Кущак Сергей Витальевич;353430, Краснодарский край, Анапский район, ст.Анапская, ул. Ереванская, д. 5;;kushak@list.ru;(86133) 53099
ООО «КГС»;2308242373;Директор Замков Андрей Ефимович;350910, Краснодарский край, г.Краснодар, ул.Репинская, д. 38;www.kubangeostroy.ru;kgs1315@mail.ru, zaokgs1315@mail.ru;"8-918-679-96-24; 8-918-373-82-82"
ООО «САЯНЫ»;2309024219;Директор Сабецкий Яков Михайлович;350063, Краснодарский край, г.Краснодар, ул.Кубанонабережная, 100-40;;Sayan-Kyban@yandex.ru;(861) 2684221
АО «Ейская» ДПМК;2331002725;Директор Байрамов Руслан Исаханович;353661, Краснодарский край, Ейский район, х.Приазовка, п/о Кухаривка;;dpmk-eysk@bk.ru;(86132) 77796
ООО «Новнефтегазстрой»;2315127999;Директор Сетянов Игорь Борисович;353902, Краснодарский край, г.Новороссийск, Сухумское шоссе, 76;;novneftegazstroy@yandex.ru;(8617) 676783, 8-988-145-17-78
АО «Новороссийскгоргаз»;2315024898;Генеральный директор Молодцов Дмитрий Владимирович;353900, Краснодарский край, г.Новороссийск, ул.Сипягина, д.14;www.yuggazservice.ru;priemnya@yuggazservice.ru;(8617) 645257
ООО «КМ-Инвест»;2312149874;Директор Сазонов Андрей Станиславович;350080, Краснодарский край, г.Краснодар, ул.Красноармейская, дом 40, пом. 5/2, 5/3, 16;www.km-invest.ru;km-i@v-k-b.ru;(861) 2748887
ООО «П «МКТ»;2309009443;Директор Атавин Александр Георгиевич;350018, Краснодарский край, г.Краснодар, ул.Текстильная, 4/2;www.mikrotonnel.com;pmkt-info@mail.ru, pmkt@mail.ru, pmktpto@mail.ru;(861) 2326731, 2325419
ООО «Интер ОКНА»;2308074263;Директор Фарышев Виталий Николаевич;350001, Краснодарский край, г.Краснодар, ул.Таманская, 147, оф.1;www.interokna-kuban.ru;inter-okna@yandex.ru;(861) 2397402
ООО «Крыловскагропромэнерго»;2338009462;Директор Волочай Алексей Николаевич;352080, Краснодарский край, Крыловской район, ст.Крыловская, ул.Западная, 15;;23energo@mail.ru;(86161) 31036, 31257, 35400
ООО «ЛАСТРОЙ»;2315149061;Директор Данилова Елена Вячеславовна;353902, Краснодарский край, г.Новороссийск, ул.Сухумское шоссе, 16;;morpog@mail.ru;(8617) 27-96-74
ООО «ЮгТехноПроект»;2320164322;Генеральный директор Бакшеева Екатерина Михайловна;354057, Краснодарский край, г.Сочи, ул.Туапсинская 21/А офис №17;;rte2008@mail.ru;(862) 2695756
